"namaKerajaan,""ibuKota"",""agama"",""pendahulu"",""penerus"",""tahunMulai"",""wikidataID"""
"Spread of Islam in Indonesia,,,,,,""http://www.wikidata.org/entity/Q7580263"""
"Sonbai,,,,,,""http://www.wikidata.org/entity/Q2300884"""
"Wehali,,,,,,""http://www.wikidata.org/entity/Q2554365"""
"Ishana dynasty,,,,,,""http://www.wikidata.org/entity/Q47676"""
"Banten Girang,,,,,,""http://www.wikidata.org/entity/Q12474585"""
"Negara Daha,,,,,,""http://www.wikidata.org/entity/Q6987126"""
"Hikayat Banjar,,,,,,""http://www.wikidata.org/entity/Q2590504"""
"List of Hikayat,,,,,,""http://www.wikidata.org/entity/Q3958211"""
"Kantoli,,,,,,""http://www.wikidata.org/entity/Q4347516"""
"Kutai,,,,,,""http://www.wikidata.org/entity/Q1794655"""
"Amabi,,,,,,""http://www.wikidata.org/entity/Q451677"""
"Giri Kedaton,,,,,,""http://www.wikidata.org/entity/Q16178404"""
"Liang Daoming,,,,,,""http://www.wikidata.org/entity/Q10966261"""
"List of rulers of Maluku,,,,,,""http://www.wikidata.org/entity/Q27662175"""
"Kengwei Republic,,,,,,""http://www.wikidata.org/entity/Q107003282"""
"Lintian Republic,,,,,,""http://www.wikidata.org/entity/Q107003367"""
"Santiaogou Republic,,,,,,""http://www.wikidata.org/entity/Q107068591"""
"Pamalayu,,,,,,""http://www.wikidata.org/entity/Q4264622"""
"Klungkung Palace,,,,,,""http://www.wikidata.org/entity/Q1164385"""
"Vorstenlanden,,,,,,""http://www.wikidata.org/entity/Q2401689"""
"Negara Dipa,,,,,,""http://www.wikidata.org/entity/Q12491044"""
"Amanatun,,,,,,""http://www.wikidata.org/entity/Q4739518"""
"Kingdom of Iha,,,,,,""http://www.wikidata.org/entity/Q6412603"""
